"created_at","id","text"
"Tue Sep 12 15:35:18 +0000 2017","907628697003335680","ビズリーチの海外求人って言っても、いずれアジアのどこかに飛ばしますって求人ばっかやった！だめだめやん。"
"Wed Sep 06 14:49:56 +0000 2017","905442952637329409","その代わりにビズリーチが海外で働けと言ってくる。"
